Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,210.0,0.0,0.0,217.0,0.0,
Alcalá,441.0,0.0,0.0,389.0,0.0,
Alicante,13.0,0.0,0.0,0.0,0.0,
Almería,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,478.0,56.0,404.0,1509.0,0.0,
Autónoma de Madrid,454.0,0.0,0.0,900.0,0.0,
Barcelona,1036.0,7.0,279.0,684.0,0.0,
Burgos,41.0,0.0,0.0,0.0,0.0,
Cádiz,262.0,0.0,0.0,212.0,0.0,
Cantabria,100.0,0.0,19.0,312.0,0.0,
Carlos III de Madrid,2.0,20.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,2424.0,0.0,0.0,738.0,0.0,
Córdoba,422.0,0.0,0.0,0.0,0.0,
Extremadura,94.0,13.0,0.0,0.0,0.0,
Girona,929.0,0.0,74.0,539.0,0.0,
Granada,465.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),206.0,0.0,0.0,40.0,0.0,
Jaén,312.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,135.0,0.0,0.0,188.0,0.0,
La Rioja,0.0,0.0,0.0,257.0,0.0,
Las Palmas de Gran Canaria,103.0,0.0,0.0,0.0,0.0,
León,30.0,0.0,0.0,0.0,0.0,
Lleida,79.0,0.0,0.0,93.0,0.0,
Málaga,343.0,0.0,0.0,195.0,0.0,
Miguel Hernández de Elche,306.0,0.0,0.0,0.0,0.0,
Murcia,527.0,0.0,0.0,149.0,0.0,
Oviedo,257.0,0.0,0.0,301.0,0.0,
Pablo de Olavide,219.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,137.0,18.0,0.0,262.0,0.0,
Politécnica de Cartagena,0.0,13.0,0.0,0.0,0.0,
Politécnica de Catalunya,355.0,59.0,38.0,0.0,0.0,
Politécnica de Madrid,0.0,0.0,97.0,0.0,0.0,
Politècnica de València,0.0,43.0,0.0,0.0,0.0,
Pompeu Fabra,1131.0,406.0,120.0,643.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,1060.0,46.0,316.0,0.0,0.0,
Rovira i Virgili,69.0,13.0,0.0,98.0,0.0,
