
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
A Coruña,5107.0,2209.0,2257.0,129.0,259.0,253.0,
Alcalá,4852.0,1533.0,1606.0,336.0,933.0,444.0,
Alicante,7085.0,3665.0,1821.0,630.0,282.0,687.0,
Almería,3985.0,1896.0,1078.0,244.0,368.0,399.0,
Autónoma de Barcelona,8807.0,3501.0,1422.0,1013.0,1181.0,1690.0,
Autónoma de Madrid,7093.0,3128.0,881.0,945.0,735.0,1404.0,
Barcelona,11292.0,5572.0,643.0,1563.0,1573.0,1941.0,
Burgos,1967.0,897.0,736.0,154.0,127.0,53.0,
Cádiz,5513.0,2258.0,1665.0,446.0,626.0,518.0,
Cantabria,2871.0,1078.0,1172.0,121.0,248.0,252.0,
Carlos III de Madrid,7273.0,3584.0,3661.0,28.0,0.0,0.0,
Castilla-La Mancha,7916.0,3490.0,2495.0,458.0,1133.0,340.0,
Complutense de Madrid,15948.0,7311.0,1852.0,2087.0,2275.0,2423.0,
Córdoba,4908.0,1494.0,1354.0,568.0,709.0,783.0,
Extremadura,5567.0,2530.0,1375.0,219.0,825.0,618.0,
Girona,3421.0,1340.0,1088.0,308.0,233.0,452.0,
Granada,13149.0,5588.0,2411.0,1457.0,1994.0,1699.0,
Huelva,2598.0,1175.0,827.0,219.0,245.0,132.0,
Illes Balears (Les),3103.0,1456.0,773.0,234.0,312.0,328.0,
Jaén,3899.0,1676.0,1297.0,268.0,416.0,242.0,
Jaume I de Castellón,3654.0,1698.0,1349.0,192.0,314.0,101.0,
La Laguna,5727.0,2118.0,1515.0,614.0,851.0,629.0,
La Rioja,1241.0,559.0,433.0,86.0,0.0,163.0,
Las Palmas de Gran Canaria,4991.0,2359.0,1569.0,320.0,648.0,95.0,
León,3153.0,1257.0,1071.0,171.0,325.0,329.0,
Lleida,2791.0,1006.0,902.0,245.0,499.0,139.0,
Málaga,11195.0,4343.0,4104.0,954.0,954.0,840.0,
Miguel Hernández de Elche,3185.0,896.0,854.0,106.0,1152.0,177.0,
Murcia,7827.0,3724.0,809.0,895.0,1341.0,1058.0,
Oviedo,5939.0,2052.0,2040.0,548.0,548.0,751.0,
Pablo de Olavide,3144.0,2317.0,192.0,311.0,62.0,262.0,
País Vasco/Euskal Herriko Unibertsitatea,12684.0,4900.0,4592.0,936.0,1159.0,1097.0,
Politécnica de Cartagena,1936.0,223.0,1713.0,0.0,0.0,0.0,
Politécnica de Catalunya,10347.0,0.0,10192.0,0.0,75.0,80.0,
Politécnica de Madrid,13619.0,661.0,12923.0,0.0,0.0,35.0,
Politècnica de València,9165.0,1061.0,7333.0,478.0,0.0,293.0,
Pompeu Fabra,3314.0,2398.0,497.0,288.0,131.0,0.0,
Pública de Navarra,3047.0,1222.0,1559.0,27.0,171.0,68.0,
Rey Juan Carlos,12241.0,7500.0,3198.0,604.0,620.0,319.0,
Rovira i Virgili,3537.0,1281.0,1158.0,194.0,625.0,279.0,
Salamanca,6247.0,2261.0,1096.0,1008.0,925.0,957.0,
Santiago de Compostela,6113.0,2218.0,680.0,704.0,1505.0,1006.0,
Sevilla,17260.0,5907.0,6577.0,1454.0,1828.0,1494.0,
València (Estudi General),11273.0,5591.0,1084.0,1225.0,2013.0,1360.0,
Valladolid,6286.0,2725.0,2048.0,406.0,585.0,522.0,
Vigo,5740.0,2275.0,2597.0,328.0,93.0,447.0,
Zaragoza,8711.0,3748.0,2486.0,633.0,833.0,1011.0,
Universidades Públicas No Presenciales,10068.0,4828.0,795.0,1620.0,1901.0,924.0,
Nacional de Educación a Distancia,10068.0,4828.0,795.0,1620.0,1901.0,924.0,
Universidades Privadas,54139.0,26026.0,8211.0,1722.0,17271.0,909.0,
Universidades Privadas Presenciales,48378.0,22241.0,7496.0,1300.0,16432.0,909.0,
Abat Oliba CEU,336.0,279.0,0.0,0.0,57.0,0.0,
Alfonso X El Sabio,2342.0,118.0,181.0,67.0,1975.0,1.0,
Antonio de Nebrija,1233.0,775.0,348.0,58.0,52.0,0.0,
Atlántico Medio,118.0,111.0,0.0,7.0,0.0,0.0,
Camilo José Cela,831.0,505.0,64.0,22.0,240.0,0.0,
Cardenal Herrera-CEU,2367.0,650.0,85.0,0.0,1632.0,0.0,
Católica de Valencia San Vicente Mártir,2936.0,1066.0,0.0,26.0,1688.0,156.0,
Católica San Antonio,3325.0,1410.0,312.0,32.0,1540.0,31.0,
Católica Santa Teresa de Jesús de Ávila,441.0,174.0,115.0,0.0,144.0,8.0,
Deusto,2846.0,1973.0,608.0,154.0,111.0,0.0,
Europea de Canarias,287.0,179.0,15.0,0.0,93.0,0.0,
Europea de Madrid,3541.0,1189.0,559.0,97.0,1605.0,91.0,
Europea de Valencia,731.0,196.0,18.0,10.0,507.0,0.0,
Europea del Atlántico,863.0,252.0,176.0,22.0,413.0,0.0,
Europea Miguel de Cervantes,908.0,286.0,135.0,0.0,485.0,2.0,
Fernando Pessoa-Canarias (UFP-C),244.0,22.0,0.0,0.0,222.0,0.0,
Francisco de Vitoria,2837.0,1511.0,399.0,96.0,706.0,125.0,
IE Universidad,603.0,557.0,37.0,9.0,0.0,0.0,
Internacional de Catalunya,1227.0,444.0,87.0,19.0,677.0,0.0,
